tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
hun-tsio,粉蕉,25,hun-chio,huntsio,hunchio,huntsio,hunchio,ht,hc
phoh-á,粕仔,25,phoh-á,phoha2,phoha2,phoha,phoha,pa,pa
kôo-thu,糊樗,25,kô͘-thu,koo5thu,koo5thu,koothu,koothu,kt,kt
khong-lông,糠榔,25,khong-lông,khonglong5,khonglong5,khonglong,khonglong,kl,kl
âng-sam,紅杉,25,âng-sam,ang5sam,ang5sam,angsam,angsam,as,as
âng-kam,紅柑,25,âng-kam,ang5kam,ang5kam,angkam,angkam,ak,ak
âng-tshâ,紅柴,25,âng-chhâ,ang5tsha5,ang5chha5,angtsha,angchha,at,ac
âng-khī,紅柿,25,âng-khī,ang5khi7,ang5khi7,angkhi,angkhi,ak,ak
âng-tsó,紅棗,25,âng-chó,ang5tso2,ang5cho2,angtso,angcho,at,ac
âng-tām,紅淡,25,âng-tām,ang5tam7,ang5tam7,angtam,angtam,at,at
âng-tsu,紅珠,25,âng-chu,ang5tsu,ang5chu,angtsu,angchu,at,ac
âng-phê,紅皮,25,âng-phê,ang5phe5,ang5phe5,angphe,angphe,ap,ap
âng-tik,紅竹,25,âng-tek,ang5tik,ang5tek,angtik,angtek,at,at
âng-tshài,紅菜,25,âng-chhài,ang5tshai3,ang5chhai3,angtshai,angchhai,at,ac
âng-phiô,紅萍,25,âng-phiô,ang5phio5,ang5phio5,angphio,angphio,ap,ap
sò-sim,素心,25,sò-sim,so3sim,so3sim,sosim,sosim,ss,ss
sòo-hiunn,素香,25,sò͘-hiuⁿ,soo3hiunn,soo3hiunn,soohiunn,soohiunn,sh,sh
tsú-tuânn,紫檀,25,chú-tôaⁿ,tsu2tuann5,chu2toann5,tsutuann,chutoann,tt,ct
tsí-soo,紫蘇,25,chí-so͘,tsi2soo,chi2soo,tsisoo,chisoo,ts,cs
sè-sin,細辛,25,sè-sin,se3sin,se3sin,sesin,sesin,ss,ss
si-kue,絲瓜,25,si-koe,sikue,sikoe,sikue,sikoe,sk,sk
li̍k-tsiunn,綠樟,25,le̍k-chiuⁿ,lik8tsiunn,lek8chiunn,liktsiunn,lekchiunn,lt,lc
lik-tik,綠竹,25,lek-tek,liktik,lektek,liktik,lektek,lt,lt
li̍k-tāu,綠豆,25,le̍k-tāu,lik8tau7,lek8tau7,liktau,lektau,lt,lt
eng-be̍h,罌麥,25,eng-be̍h,engbeh8,engbeh8,engbeh,engbeh,eb,eb
iûnn-tāu,羊豆,25,iûⁿ-tāu,iunn5tau7,iunn5tau7,iunntau,iunntau,it,it
jio̍k-kuì,肉桂,25,jio̍k-kùi,jiok8kui3,jiok8kui3,jiokkui,jiokkui,jk,jk
bah-tāu,肉豆,25,bah-tāu,bahtau7,bahtau7,bahtau,bahtau,bt,bt
siau-lâm,肖楠,25,siau-lâm,siaulam5,siaulam5,siaulam,siaulam,sl,sl
ho-tsio,胡椒,25,ho-chio,hotsio,hochio,hotsio,hochio,ht,hc
la̍h-tshì,臘刺,25,la̍h-chhì,lah8tshi3,lah8chhi3,lahtshi,lahchhi,lt,lc
tshàu-hīng,臭杏,25,chhàu-hēng,tshau3hing7,chhau3heng7,tshauhing,chhauheng,th,ch
tshàu-tsiunn,臭樟,25,chhàu-chiuⁿ,tshau3tsiunn,chhau3chiunn,tshautsiunn,chhauchiunn,tt,cc
tshàu-kue,臭瓜,25,chhàu-koe,tshau3kue,chhau3koe,tshaukue,chhaukoe,tk,ck
ōo-á,芋仔,25,ō͘-á,oo7a2,oo7a2,ooa,ooa,oa,oa
king-tsio,芎蕉,25,keng-chio,kingtsio,kengchio,kingtsio,kengchio,kt,kc
phû-iông,芙蓉,25,phû-iông,phu5iong5,phu5iong5,phuiong,phuiong,pi,pi
tsi-muâ,芝麻,25,chi-môa,tsimua5,chimoa5,tsimua,chimoa,tm,cm
kuà-tshài,芥菜,25,kòa-chhài,kua3tshai3,koa3chhai3,kuatshai,koachhai,kt,kc
hue-tshó,花草,25,hoe-chhó,huetsho2,hoechho2,huetsho,hoechho,ht,hc
khûn-tshài,芹菜,25,khûn-chhài,khun5tshai3,khun5chhai3,khuntshai,khunchhai,kt,kc
khóo-thu,苦株,25,khó͘-thu,khoo2thu,khoo2thu,khoothu,khoothu,kt,kt
khóo-līng,苦楝,25,khó͘-lēng,khoo2ling7,khoo2leng7,khooling,khooleng,kl,kl
khóo-kue,苦瓜,25,khó͘-koe,khoo2kue,khoo2koe,khookue,khookoe,kk,kk
khóo-tê,苦茶,25,khó͘-tê,khoo2te5,khoo2te5,khoote,khoote,kt,kt
khóo-muâ,苦麻,25,khó͘-môa,khoo2mua5,khoo2moa5,khoomua,khoomoa,km,km
tuē-á,苧仔,25,tōe-á,tue7a2,toe7a2,tuea,toea,ta,ta
thú-muâ,苧麻,25,thú-môa,thu2mua5,thu2moa5,thumua,thumoa,tm,tm
kiô-á,茄仔,25,kiô-á,kio5a2,kio5a2,kioa,kioa,ka,ka
ka-tang,茄苳,25,ka-tang,katang,katang,katang,katang,kt,kt
hm̂-á,茅仔,25,hm̂-á,hm5a2,hm5a2,hma,hma,ha,ha
hm̂-tsháu,茅草,25,hm̂-chháu,hm5tshau2,hm5chhau2,hmtshau,hmchhau,ht,hc
bak-nī,茉莉,25,bak-nī,bakni7,bakni7,bakni,bakni,bn,bn
huê-hiunn,茴香,25,hôe-hiuⁿ,hue5hiunn,hoe5hiunn,huehiunn,hoehiunn,hh,hh
tê-muî,茶梅,25,tê-mûi,te5mui5,te5mui5,temui,temui,tm,tm
tê-lân,茶蘭,25,tê-lân,te5lan5,te5lan5,telan,telan,tl,tl
tang-o,茼萵,25,tang-o,tango,tango,tango,tango,to,to
tsháu-se,草紗,25,chháu-se,tshau2se,chhau2se,tshause,chhause,ts,cs
nāi-tsi,荔枝,25,nāi-chi,nai7tsi,nai7chi,naitsi,naichi,nt,nc
láu-tîn,荖藤,25,láu-tîn,lau2tin5,lau2tin5,lautin,lautin,lt,lt
hò-siū,荷樹,25,hò-siū,ho3siu7,ho3siu7,hosiu,hosiu,hs,hs
tshinn-á,菁仔,25,chhiⁿ-á,tshinna2,chhinna2,tshinna,chhinna,ta,ca
kuann-bâng,菅芒,25,koaⁿ-bâng,kuannbang5,koannbang5,kuannbang,koannbang,kb,kb
kiok-á,菊仔,25,kiok-á,kioka2,kioka2,kioka,kioka,ka,ka
kak-hue,菊花,25,kak-hoe,kakhue,kakhoe,kakhue,kakhoe,kh,kh
kiok-hue,菊花,25,kiok-hoe,kiokhue,kiokhoe,kiokhue,kiokhoe,kh,kh
tshong-pô,菖蒲,25,chhong-pô,tshongpo5,chhongpo5,tshongpo,chhongpo,tp,cp
tshài-kue,菜瓜,25,chhài-koe,tshai3kue,chhai3koe,tshaikue,chhaikoe,tk,ck
tshài-hue,菜花,25,chhài-hoe,tshai3hue,chhai3hoe,tshaihue,chhaihoe,th,ch
tshài-tāu,菜豆,25,chhài-tāu,tshai3tau7,chhai3tau7,tshaitau,chhaitau,tt,ct
tshài-thâu,菜頭,25,chhài-thâu,tshai3thau5,chhai3thau5,tshaithau,chhaithau,tt,ct
lâi-ho̍k,萊菔,25,lâi-ho̍k,lai5hok8,lai5hok8,laihok,laihok,lh,lh
suan-á,萱仔,25,soan-á,suana2,soana2,suana,soana,sa,sa
pián-thiok,萹蓄,25,pián-thiok,pian2thiok,pian2thiok,pianthiok,pianthiok,pt,pt
kuah-tsû,葛薯,25,koah-chû,kuahtsu5,koahchu5,kuahtsu,koahchu,kt,kc
kuah-tîn,葛藤,25,koah-tîn,kuahtin5,koahtin5,kuahtin,koahtin,kt,kt
phû-tô,葡萄,25,phû-tô,phu5to5,phu5to5,phuto,phuto,pt,pt
tshang-á,葱仔,25,chhang-á,tshanga2,chhanga2,tshanga,chhanga,ta,ca
tshang-thâu,葱頭,25,chhang-thâu,tshangthau5,chhangthau5,tshangthau,chhangthau,tt,ct
suàn-á,蒜仔,25,soàn-á,suan3a2,soan3a2,suana,soana,sa,sa
pôo-kuî,蒲葵,25,pô͘-kûi,poo5kui5,poo5kui5,pookui,pookui,pk,pk
tsi̍t-lê,蒺藜,25,chi̍t-lê,tsit8le5,chit8le5,tsitle,chitle,tl,cl
tshio̍h-tsháu,蓆草,25,chhio̍h-chháu,tshioh8tshau2,chhioh8chhau2,tshiohtshau,chhiohchhau,tt,cc
pi-muâ,蓖麻,25,pi-môa,pimua5,pimoa5,pimua,pimoa,pm,pm
thong-tshó,蓪草,25,thong-chhó,thongtsho2,thongchho2,thongtsho,thongchho,tt,tc
liân-hue,蓮花,25,liân-hoe,lian5hue,lian5hoe,lianhue,lianhoe,lh,lh
lô-tîn,蔞藤,25,lô-tîn,lo5tin5,lo5tin5,lotin,lotin,lt,lt
muâ-á,蔴仔,25,môa-á,mua5a2,moa5a2,muaa,moaa,ma,ma
muâ-tik,蔴竹,25,môa-tek,mua5tik,moa5tek,muatik,moatek,mt,mt
tshì-muî,蕀梅,25,chhì-mûi,tshi3mui5,chhi3mui5,tshimui,chhimui,tm,cm
huan-kam,蕃柑,25,hoan-kam,huankam,hoankam,huankam,hoankam,hk,hk
huan-hue,蕃花,25,hoan-hoe,huanhue,hoanhoe,huanhue,hoanhoe,hh,hh
huan-tshinn,蕃菁,25,hoan-chhiⁿ,huantshinn,hoanchhinn,huantshinn,hoanchhinn,ht,hc
huan-kiunn,蕃薑,25,hoan-kiuⁿ,huankiunn,hoankiunn,huankiunn,hoankiunn,hk,hk
han-tsû,蕃薯,25,han-chû,hantsu5,hanchu5,hantsu,hanchu,ht,hc
huan-be̍h,蕃麥,25,hoan-be̍h,huanbeh8,hoanbeh8,huanbeh,hoanbeh,hb,hb
huan-sué,蕃黍,25,hoan-sóe,huansue2,hoansoe2,huansue,hoansoe,hs,hs
kiô-be̍h,蕎麥,25,kiô-be̍h,kio5beh8,kio5beh8,kiobeh,kiobeh,kb,kb
lōo-giō,蕗蕎,25,lō͘-giō,loo7gio7,loo7gio7,loogio,loogio,lg,lg
lōo-tîn,蕗藤,25,lō͘-tîn,loo7tin5,loo7tin5,lootin,lootin,lt,lt
keh-niau,蕨猫,25,keh-niau,kehniau,kehniau,kehniau,kehniau,kn,kn
po̍h-phê,薄皮,25,po̍h-phê,poh8phe5,poh8phe5,pohphe,pohphe,pp,pp
po̍h-ho,薄荷,25,po̍h-ho,poh8ho,poh8ho,pohho,pohho,ph,ph
kiunn-n̂g,薑黃,25,kiuⁿ-n̂g,kiunnng5,kiunnng5,kiunnng,kiunnng,kn,kn
tsû-táu,薯斗,25,chû-táu,tsu5tau2,chu5tau2,tsutau,chutau,tt,ct
tsû-nn̂g,薯榔,25,chû-nn̂g,tsu5nng5,chu5nng5,tsunng,chunng,tn,cn
tsû-tāu,薯豆,25,chû-tāu,tsu5tau7,chu5tau7,tsutau,chutau,tt,ct
tîn-tsû,藤薯,25,tîn-chû,tin5tsu5,tin5chu5,tintsu,tinchu,tt,tc
io̍h-hóo,藥虎,25,io̍h-hó͘,ioh8hoo2,ioh8hoo2,iohhoo,iohhoo,ih,ih
lôo-tik,蘆竹,25,lô͘-tek,loo5tik,loo5tek,lootik,lootek,lt,lt
lôo-hē,蘆薈,25,lô͘-hē,loo5he7,loo5he7,loohe,loohe,lh,lh
lōo-sué,蘆黍,25,lō͘-sóe,loo7sue2,loo7soe2,loosue,loosoe,ls,ls
soo-bo̍k,蘇木,25,so͘-bo̍k,soobok8,soobok8,soobok,soobok,sb,sb
soo-thih,蘇鐵,25,so͘-thih,soothih,soothih,soothih,soothih,st,st
pîn-pô,蘋婆,25,pîn-pô,pin5po5,pin5po5,pinpo,pinpo,pp,pp
hóo-tshì,虎刺,25,hó͘-chhì,hoo2tshi3,hoo2chhi3,hootshi,hoochhi,ht,hc
tsuâ-pô,蛇婆,25,chôa-pô,tsua5po5,choa5po5,tsuapo,choapo,tp,cp
tsuâ-pho,蛇波,25,chôa-pho,tsua5pho,choa5pho,tsuapho,choapho,tp,cp
bit-iū,蜜柚,25,bit-iū,bitiu7,bitiu7,bitiu,bitiu,bi,bi
pián-tsiong,蝙章,25,pián-chiong,pian2tsiong,pian2chiong,piantsiong,pianchiong,pt,pc
hê-bé,蝦尾,25,hê-bé,he5be2,he5be2,hebe,hebe,hb,hb
ia̍h-lân,蝶蘭,25,ia̍h-lân,iah8lan5,iah8lan5,iahlan,iahlan,il,il
thâng-sái,蟲屎,25,thâng-sái,thang5sai2,thang5sai2,thangsai,thangsai,ts,ts
tsîm-tshài,蟳菜,25,chîm-chhài,tsim5tshai3,chim5chhai3,tsimtshai,chimchhai,tt,cc
tshâm-tāu,蠶豆,25,chhâm-tāu,tsham5tau7,chham5tau7,tshamtau,chhamtau,tt,ct
huih-tông,血桐,25,huih-tông,huihtong5,huihtong5,huihtong,huihtong,ht,ht
huih-tîn,血藤,25,huih-tîn,huihtin5,huihtin5,huihtin,huihtin,ht,ht
si-kue,西瓜,25,si-koe,sikue,sikoe,sikue,sikoe,sk,sk
kak-tshài,角菜,25,kak-chhài,kaktshai3,kakchhai3,kaktshai,kakchhai,kt,kc
tāu-tshài,豆菜,25,tāu-chhài,tau7tshai3,tau7chhai3,tautshai,tauchhai,tt,tc
tāu-hóo,豆虎,25,tāu-hó͘,tau7hoo2,tau7hoo2,tauhoo,tauhoo,th,th
kòng-á,貢仔,25,kòng-á,kong3a2,kong3a2,konga,konga,ka,ka
kuàn-tsiòng,貫眾,25,koàn-chiòng,kuan3tsiong3,koan3chiong3,kuantsiong,koanchiong,kt,kc
tshiah-ko,赤柯,25,chhiah-ko,tshiahko,chhiahko,tshiahko,chhiahko,tk,ck
tshiah-kua,赤柯,25,chhiah-koa,tshiahkua,chhiahkoa,tshiahkua,chhiahkoa,tk,ck
tshiah-káu,赤校,25,chhiah-káu,tshiahkau2,chhiahkau2,tshiahkau,chhiahkau,tk,ck
tshiah-iông,赤榕,25,chhiah-iông,tshiahiong5,chhiahiong5,tshiahiong,chhiahiong,ti,ci
tshiah-phê,赤皮,25,chhiah-phê,tshiahphe5,chhiahphe5,tshiahphe,chhiahphe,tp,cp
tshiah-lân,赤蘭,25,chhiah-lân,tshiahlan5,chhiahlan5,tshiahlan,chhiahlan,tl,cl
tshiah-liû,赤鱗,25,chhiah-liû,tshiahliu5,chhiahliu5,tshiahliu,chhiahliu,tl,cl
uán-tsì,遠志,25,oán-chì,uan2tsi3,oan2chi3,uantsi,oanchi,ut,oc
sng-kiat,酸橘,25,sng-kiat,sngkiat,sngkiat,sngkiat,sngkiat,sk,sk
sng-tìn,酸藤,25,sng-tìn,sngtin3,sngtin3,sngtin,sngtin,st,st
kim-kam,金柑,25,kim-kam,kimkam,kimkam,kimkam,kimkam,kk,kk
kim-kue,金瓜,25,kim-koe,kimkue,kimkoe,kimkue,kimkoe,kk,kk
kim-tsuánn,金盞,25,kim-chóaⁿ,kimtsuann2,kimchoann2,kimtsuann,kimchoann,kt,kc
kim-sún,金筍,25,kim-sún,kimsun2,kimsun2,kimsun,kimsun,ks,ks
kim-ing,金英,25,kim-eng,kiming,kimeng,kiming,kimeng,ki,ke
kau-tîn,鈎藤,25,kau-tîn,kautin5,kautin5,kautin,kautin,kt,kt
kau-tîn,鉤藤,25,kau-tîn,kautin5,kautin5,kautin,kautin,kt,kt
thih-á,鐵仔,25,thih-á,thiha2,thiha2,thiha,thiha,ta,ta
thih-tshiū,鐵樹,25,thih-chhiū,thihtshiu7,thihchhiu7,thihtshiu,thihchhiu,tt,tc
hông-kí,防巳,25,hông-kí,hong5ki2,hong5ki2,hongki,hongki,hk,hk
hông-hong,防風,25,hông-hong,hong5hong,hong5hong,honghong,honghong,hh,hh
kue-bâi,雞眉,25,koe-bâi,kuebai5,koebai5,kuebai,koebai,kb,kb
seh-kam,雪柑,25,seh-kam,sehkam,sehkam,sehkam,sehkam,sk,sk
tshinn-tông,青桐,25,chhiⁿ-tông,tshinntong5,chhinntong5,tshinntong,chhinntong,tt,ct
tshinn-png,青楓,25,chhiⁿ-png,tshinnpng,chhinnpng,tshinnpng,chhinnpng,tp,cp
tshi-siunn,青箱,25,chhi-siuⁿ,tshisiunn,chhisiunn,tshisiunn,chhisiunn,ts,cs
tshinn-o,青荷,25,chhiⁿ-o,tshinno,chhinno,tshinno,chhinno,to,co
tshinn-phiô,青萍,25,chhiⁿ-phiô,tshinnphio5,chhinnphio5,tshinnphio,chhinnphio,tp,cp
kú-tshài,韮菜,25,kú-chhài,ku2tshai3,ku2chhai3,kutshai,kuchhai,kt,kc
hong-tîn,風藤,25,hong-tîn,hongtin5,hongtin5,hongtin,hongtin,ht,ht
hong-kóo,風鼓,25,hong-kó͘,hongkoo2,hongkoo2,hongkoo,hongkoo,hk,hk
hiunn-înn,香圓,25,hiuⁿ-îⁿ,hiunninn5,hiunninn5,hiunninn,hiunninn,hi,hi
hiunn-sam,香杉,25,hiuⁿ-sam,hiunnsam,hiunnsam,hiunnsam,hiunnsam,hs,hs
hiong-kó,香果,25,hiong-kó,hiongko2,hiongko2,hiongko,hiongko,hk,hk
hiunn-kam,香柑,25,hiuⁿ-kam,hiunnkam,hiunnkam,hiunnkam,hiunnkam,hk,hk
hiunn-iū,香柚,25,hiuⁿ-iū,hiunniu7,hiunniu7,hiunniu,hiunniu,hi,hi
hiunn-kuì,香桂,25,hiuⁿ-kùi,hiunnkui3,hiunnkui3,hiunnkui,hiunnkui,hk,hk
phang-lâi,香梨,25,phang-lâi,phanglai5,phanglai5,phanglai,phanglai,pl,pl
hiunn-lâm,香楠,25,hiuⁿ-lâm,hiunnlam5,hiunnlam5,hiunnlam,hiunnlam,hl,hl
hiunn-jû,香榆,25,hiuⁿ-jû,hiunnju5,hiunnju5,hiunnju,hiunnju,hj,hj
hiong-iân,香櫞,25,hiong-iân,hiongian5,hiongian5,hiongian,hiongian,hi,hi
hiunn-hû,香符,25,hiuⁿ-hû,hiunnhu5,hiunnhu5,hiunnhu,hiunnhu,hh,hh
phang-hue,香花,25,phang-hoe,phanghue,phanghoe,phanghue,phanghoe,ph,ph
hiang-hm̂,香茅,25,hiang-hm̂,hianghm5,hianghm5,hianghm,hianghm,hh,hh
hiong-jû,香茹,25,hiong-jû,hiongju5,hiongju5,hiongju,hiongju,hj,hj
hiunn-tsháu,香草,25,hiuⁿ-chháu,hiunntshau2,hiunnchhau2,hiunntshau,hiunnchhau,ht,hc
phang-tsháu,香草,25,phang-chháu,phangtshau2,phangchhau2,phangtshau,phangchhau,pt,pc
ko-pue,高杯,25,ko-poe,kopue,kopoe,kopue,kopoe,kp,kp
hî-tîn,魚藤,25,hî-tîn,hi5tin5,hi5tin5,hitin,hitin,ht,ht
tsiáu-lâi,鳥梨,25,chiáu-lâi,tsiau2lai5,chiau2lai5,tsiaulai,chiaulai,tl,cl
tsiáu-tshîng,鳥榕,25,chiáu-chhêng,tsiau2tshing5,chiau2chheng5,tsiautshing,chiauchheng,tt,cc
tsiáu-tsiunn,鳥樟,25,chiáu-chiuⁿ,tsiau2tsiunn,chiau2chiunn,tsiautsiunn,chiauchiunn,tt,cc
kue-kè,鷄冠,25,koe-kè,kueke3,koeke3,kueke,koeke,kk,kk
kue-jiû,鷄柔,25,koe-jiû,kuejiu5,koejiu5,kuejiu,koejiu,kj,kj
kue-iû,鷄油,25,koe-iû,kueiu5,koeiu5,kueiu,koeiu,ki,ki
kue-bâi,鷄眉,25,koe-bâi,kuebai5,koebai5,kuebai,koebai,kb,kb
iâm-pô,鹽婆,25,iâm-pô,iam5po5,iam5po5,iampo,iampo,ip,ip
lo̍k-pn̄g,鹿飯,25,lo̍k-pn̄g,lok8png7,lok8png7,lokpng,lokpng,lp,lp
be̍h-á,麥仔,25,be̍h-á,beh8a2,beh8a2,beha,beha,ba,ba
bi̍k-tshong,麥葱,25,be̍k-chhong,bik8tshong,bek8chhong,biktshong,bekchhong,bt,bc
n̂g-ki,黃枝,25,n̂g-ki,ng5ki,ng5ki,ngki,ngki,nk,nk
n̂g-peh,黃柏,25,n̂g-peh,ng5peh,ng5peh,ngpeh,ngpeh,np,np
n̂g-kam,黃柑,25,n̂g-kam,ng5kam,ng5kam,ngkam,ngkam,nk,nk
n̂g-kun,黃根,25,n̂g-kun,ng5kun,ng5kun,ngkun,ngkun,nk,nk
n̂g-tsuí,黃槿,25,n̂g-chúi,ng5tsui2,ng5chui2,ngtsui,ngchui,nt,nc
n̂g-kú,黃櫸,25,n̂g-kú,ng5ku2,ng5ku2,ngku,ngku,nk,nk
n̂g-phî,黃皮,25,n̂g-phî,ng5phi5,ng5phi5,ngphi,ngphi,np,np
n̂g-tîn,黃籐,25,n̂g-tîn,ng5tin5,ng5tin5,ngtin,ngtin,nt,nt
n̂g-sik,黃粟,25,n̂g-sek,ng5sik,ng5sek,ngsik,ngsek,ns,ns
n̂g-tîn,黃藤,25,n̂g-tîn,ng5tin5,ng5tin5,ngtin,ngtin,nt,nt
n̂g-muâ,黃麻,25,n̂g-môa,ng5mua5,ng5moa5,ngmua,ngmoa,nm,nm
n̂g-kí,黃𣏌,25,n̂g-kí,ng5ki2,ng5ki2,ngki,ngki,nk,nk
sué-á,黍仔,25,sóe-á,sue2a2,soe2a2,suea,soea,sa,sa
tshú-khak,鼠麴,25,chhú-khak,tshu2khak,chhu2khak,tshukhak,chhukhak,tk,ck
kí-thok,齒托,25,kí-thok,ki2thok,ki2thok,kithok,kithok,kt,kt
gîng-gíng,龍眼,25,gêng-géng,ging5ging2,geng5geng2,gingging,genggeng,gg,gg
ku-hue,龜花,25,ku-hoe,kuhue,kuhoe,kuhue,kuhoe,kh,kh
ōng-lâi,𦬬萊,25,ōng-lâi,ong7lai5,ong7lai5,onglai,onglai,ol,ol
it-ki-hiunn,一枝香,16,it-ki-hiuⁿ,itkihiunn,itkihiunn,itkihiunn,itkihiunn,ikh,ikh
it-tiám-hông,一點紅,16,it-tiám-hông,ittiam2hong5,ittiam2hong5,ittiamhong,ittiamhong,ith,ith
tshit-hōo-liân,七厚蓮,16,chhit-hō͘-liân,tshithoo7lian5,chhithoo7lian5,tshithoolian,chhithoolian,thl,chl
tshit-tshùn-kim,七寸金,16,chhit-chhùn-kim,tshittshun3kim,chhitchhun3kim,tshittshunkim,chhitchhunkim,ttk,cck
tshit-ji̍t-n̄g,七日暈,16,chhit-ji̍t-n̄g,tshitjit8ng7,chhitjit8ng7,tshitjitng,chhitjitng,tjn,cjn
tshit-lí-hiong,七星香,16,chhit-lí-hiong,tshitli2hiong,chhitli2hiong,tshitlihiong,chhitlihiong,tlh,clh
tshit-hio̍h-liân,七葉蓮,16,chhit-hio̍h-liân,tshithioh8lian5,chhithioh8lian5,tshithiohlian,chhithiohlian,thl,chl
tshit-lí-hiong,七里香,16,chhit-lí-hiong,tshitli2hiong,chhitli2hiong,tshitlihiong,chhitlihiong,tlh,clh
sann-pán-to,三版刀,16,saⁿ-pán-to,sannpan2to,sannpan2to,sannpanto,sannpanto,spt,spt
sann-hī-tsháu,三耳草,16,saⁿ-hī-chháu,sannhi7tshau2,sannhi7chhau2,sannhitshau,sannhichhau,sht,shc
sann-kha-ting,三脚丁,16,saⁿ-kha-teng,sannkhating,sannkhateng,sannkhating,sannkhateng,skt,skt
sann-kha-pia̍t,三脚別,16,saⁿ-kha-pia̍t,sannkhapiat8,sannkhapiat8,sannkhapiat,sannkhapiat,skp,skp
sann-kha-tiāu,三脚掉,16,saⁿ-kha-tiāu,sannkhatiau7,sannkhatiau7,sannkhatiau,sannkhatiau,skt,skt
sann-kha-phî,三脚皮,16,saⁿ-kha-phî,sannkhaphi5,sannkhaphi5,sannkhaphi,sannkhaphi,skp,skp
sann-kha-hóo,三脚虎,16,saⁿ-kha-hó͘,sannkhahoo2,sannkhahoo2,sannkhahoo,sannkhahoo,skh,skh
sann-kha-pih,三脚鼈,16,saⁿ-kha-pih,sannkhapih,sannkhapih,sannkhapih,sannkhapih,skp,skp
sann-kha-puà,三角破,16,saⁿ-kha-pòa,sannkhapua3,sannkhapoa3,sannkhapua,sannkhapoa,skp,skp
sann-kha-pih,三角鼈,16,saⁿ-kha-pih,sannkhapih,sannkhapih,sannkhapih,sannkhapih,skp,skp
sann-pih-pí,三鼈比,16,saⁿ-pih-pí,sannpihpi2,sannpihpi2,sannpihpi,sannpihpi,spp,spp
put-liû-hîng,不留行,16,put-liû-hêng,putliu5hing5,putliu5heng5,putliuhing,putliuheng,plh,plh
m̄-kiann-king,不驚經,16,m̄-kiaⁿ-keng,m7kiannking,m7kiannkeng,mkiannking,mkiannkeng,mkk,mkk
m̄-kiann-tê,不驚茶,16,m̄-kiaⁿ-tê,m7kiannte5,m7kiannte5,mkiannte,mkiannte,mkt,mkt
tshǹg-phīnn-lîng,串鼻龍,16,chhǹg-phīⁿ-lêng,tshng3phinn7ling5,chhng3phinn7leng5,tshngphinnling,chhngphinnleng,tpl,cpl
káu-tsàn-thah,九層塔,16,káu-chàn-thah,kau2tsan3thah,kau2chan3thah,kautsanthah,kauchanthah,ktt,kct
kiú-kiong-kū,九芎舅,16,kiú-kiong-kū,kiu2kiongku7,kiu2kiongku7,kiukiongku,kiukiongku,kkk,kkk
káu-tîng-tshe,九重吹,16,káu-têng-chhe,kau2ting5tshe,kau2teng5chhe,kautingtshe,kautengchhe,ktt,ktc
khit-tshia̍h-uánn,乞食碗,16,khit-chhia̍h-óaⁿ,khittshiah8uann2,khitchhiah8oann2,khittshiahuann,khitchhiahoann,ktu,kco
lin-á-tsháu,乳仔草,16,lin-á-chháu,lina2tshau2,lina2chhau2,linatshau,linachhau,lat,lac
gōo-the̍h-kiô,五宅茄,16,gō͘-the̍h-kiô,goo7theh8kio5,goo7theh8kio5,goothehkio,goothehkio,gtk,gtk
gōo-kun-tsháu,五根草,16,gō͘-kun-chháu,goo7kuntshau2,goo7kunchhau2,gookuntshau,gookunchhau,gkt,gkc
ngóo-jiáu-jiông,五爪絨,16,ngó͘-jiáu-jiông,ngoo2jiau2jiong5,ngoo2jiau2jiong5,ngoojiaujiong,ngoojiaujiong,njj,njj
ngóo-jiáu-lîng,五爪龍,16,ngó͘-jiáu-lêng,ngoo2jiau2ling5,ngoo2jiau2leng5,ngoojiauling,ngoojiauleng,njl,njl
gōo-kha-lí,五脚里,16,gō͘-kha-lí,goo7khali2,goo7khali2,gookhali,gookhali,gkl,gkl
góo-lîng-lân,五龍蘭,16,gó͘-lêng-lân,goo2ling5lan5,goo2leng5lan5,goolinglan,goolenglan,gll,gll
tsínn-pinn-tsháu,井邊草,16,chíⁿ-piⁿ-chháu,tsinn2pinntshau2,chinn2pinnchhau2,tsinnpinntshau,chinnpinnchhau,tpt,cpc
jîn-biān-tik,人面竹,16,jîn-biān-tek,jin5bian7tik,jin5bian7tek,jinbiantik,jinbiantek,jbt,jbt
jîn-tshì-tshang,仁刺葱,16,jîn-chhì-chhang,jin5tshi3tshang,jin5chhi3chhang,jintshitshang,jinchhichhang,jtt,jcc
sian-pa-tsiúnn,仙巴掌,16,sian-pa-chiúⁿ,sianpatsiunn2,sianpachiunn2,sianpatsiunn,sianpachiunn,spt,spc
hô-siú-oo,何首烏,16,hô-siú-o͘,ho5siu2oo,ho5siu2oo,hosiuoo,hosiuoo,hso,hso
hu̍t-thâu-kó,佛頭果,16,hu̍t-thâu-kó,hut8thau5ko2,hut8thau5ko2,hutthauko,hutthauko,htk,htk
sù-kun-tsú,使君子,16,sù-kun-chú,su3kuntsu2,su3kunchu2,sukuntsu,sukunchu,skt,skc
tó-tuē-kióng,倒地拱,16,tó-tōe-kióng,to2tue7kiong2,to2toe7kiong2,totuekiong,totoekiong,ttk,ttk
tó-tuē-lîng,倒地柃,16,tó-tōe-lêng,to2tue7ling5,to2toe7leng5,totueling,totoeleng,ttl,ttl
